acronym	Partnership	action
WOODforHEALTH	ForestValue	ERA-NET Cofund
ProSmallAgriMed	PRIMA	Article 185
MedDieSMEnus4Campus	PRIMA	Article 185
PROP-AD	JPco-fuND	ERA-NET Cofund
SCI for Sustainable Sugar	ICT-AGRI-FOOD	ERA-NET Cofund
BIO-TRADE	BiodivRestore	ERA-NET Cofund
PROTEST-70	JPco-fuND	ERA-NET Cofund
PROTEQT	QuantERA II	ERA-NET Cofund
NanoZoo	ICRAD	ERA-NET Cofund
Prowaste	FACCE SURPLUS	ERA-NET Cofund
PROMETOV	TRANSCAN-2	ERA-NET Cofund
PROACT	ERA-CVD	ERA-NET Cofund
BronchoBOC	ERA PerMed	ERA-NET Cofund
PEAK	EDCTP2	Article 185
ProNoLa	HERA JRP UP	ERA-NET Cofund
19SIP01 PINICAL-MRT	EMPIR	Article 185
MUMFUSE	Eurostars 2	Article 185
SENIOR-TV	AAL 2	Article 185
CardioMet	EMPIR	Article 185
TREND Study	EDCTP2	Article 185
PsyTrans	NEURON Cofund2	ERA-NET Cofund
PSM-AP	CHANSE	ERA-NET Cofund
PuSH	HERA-JRP-PS	ERA-NET Cofund
PSPR	HERA-JRP-PS	ERA-NET Cofund
PUTSPACE	HERA-JRP-PS	ERA-NET Cofund
TalkHow	Eurostars 2	Article 185
PATRIOT	Eurostars 2	Article 185
Pump and motor for VAD	Eurostars 2	Article 185
POLight	EMPIR	Article 185
PARD - LMJ	Eurostars 2	Article 185
PV40+	Solar Cofund 2	ERA-NET Cofund
QEoL	AAL 2	Article 185
QUANTOX	QuantERA	ERA-NET Cofund
RNAPCD	Eurostars 2	Article 185
CerAM SLS	M-ERA.NET 3	ERA-NET Cofund
INSPIRATION	ERACoSysMed	ERA-NET Cofund
QUEST	Governance	ERA-NET Cofund
INWAT	PRIMA	Article 185
ComScat	Eurostars 2	Article 185
17IND10 LiBforSecUse	EMPIR	Article 185
QUALISEA_DISS	BlueBio	ERA-NET Cofund
LIVES	EJP RD	EJP Cofund
SERPENTINE	ERA PerMed	ERA-NET Cofund
RESTOLINK	BiodivRestore	ERA-NET Cofund
QUIERO	EMPIR	Article 185
QUPID	EuroNanoMed III	ERA-NET Cofund
15HLT01 MetVBadBugs	EMPIR	Article 185
Q-RANGER	Eurostars 2	Article 185
Qu3D	QuantERA	ERA-NET Cofund
QCDA	QuantERA	ERA-NET Cofund
QuCABOoSE	QuantERA II	ERA-NET Cofund
COMPHORT	QuantERA II	ERA-NET Cofund
QuCoS	QuantERA	ERA-NET Cofund
QuantHEP	QuantERA	ERA-NET Cofund
QD-E-QKD	QuantERA II	ERA-NET Cofund
QuantaGENOMICS	QuantERA II	ERA-NET Cofund
QuompleX	QuantERA	ERA-NET Cofund
QM3	QuantERA II	ERA-NET Cofund
QTFLAG	QuantERA	ERA-NET Cofund
QuantAlgo	QuantERA	ERA-NET Cofund
QOPT	QuantERA II	ERA-NET Cofund
QMAG	Eurostars 2	Article 185
QATACOMB	QuantERA II	ERA-NET Cofund
QuICHE	QuantERA	ERA-NET Cofund
15SIB08 e-SI-Amp	EMPIR	Article 185
QRADES	QuantERA II	ERA-NET Cofund
SensExtreme	QuantERA II	ERA-NET Cofund
MQSens	QuantERA II	ERA-NET Cofund
QADeT	EMPIR	Article 185
QuSiED	QuantERA II	ERA-NET Cofund
19RPT01 QuantumPower	EMPIR	Article 185
QuRAMAN	QuantERA II	ERA-NET Cofund
QuCHAP	Eurostars 2	Article 185
QuPIC	Eurostars 2	Article 185
LightCell	M-ERA.NET 3	ERA-NET Cofund
QAMEL	Eurostars 2	Article 185
Quinoa4Med	PRIMA	Article 185
RARE-ILD	EJP RD	EJP Cofund
READiStrength	ForestValue	ERA-NET Cofund
REALS	E-Rare-3	ERA-NET Cofund
BIOSHELL	BlueBio	ERA-NET Cofund
REHAB e-NOVATION	Eurostars 2	Article 185
RELIEVE	Eurostars 2	Article 185
REPRINT	Eurostars 2	Article 185
REVIVING	ERA-MIN 2	ERA-NET Cofund
REDEEMA	Eurostars 2	Article 185
REDALERT	Eurostars 2	Article 185
REPEAT	BiodivERsA3	ERA-NET Cofund
REMEDIS	CHANSE	ERA-NET Cofund
FutureCom	EMPIR	Article 185
RHINO	SOLAR-ERA.NET Cofund	ERA-NET Cofund
ENCEPHALON	Eurostars 2	Article 185
ROBERT	Eurostars 2	Article 185
ROCK-ALS	E-Rare-3	ERA-NET Cofund
ROPROP	E-Rare-3	ERA-NET Cofund
ROSSCA	M-ERA.NET 3	ERA-NET Cofund
ROAM-FREE	CORE Organic Cofund	ERA-NET Cofund
RV by RE	Eurostars 2	Article 185
p-CRT (personalized CRT)	Eurostars 2	Article 185
15SIB10 MetroBeta	EMPIR	Article 185
RaCHy	EMPIR	Article 185
RAIN	EuroNanoMed III	ERA-NET Cofund
19ENV01 traceRadon	EMPIR	Article 185
CORSAI	ERA PerMed	ERA-NET Cofund
Ra-Sure	Eurostars 2	Article 185
PROTID	EDCTP2	Article 185
RaPaed	EDCTP2	Article 185
FacePrint	Eurostars 2	Article 185
BU-RPA	EDCTP2	Article 185
PfTBV	EDCTP2	Article 185
RAFT	Eurostars 2	Article 185
Respiotic	Eurostars 2	Article 185
REAG LFA	Eurostars 2	Article 185
VM-Biopsy	Eurostars 2	Article 185
SIREN	ERA-MIN3	ERA-NET Cofund
READ	Eurostars 2	Article 185
RAISE-GENIC	ERA PerMed	ERA-NET Cofund
RATOCAT	M-ERA.NET 2	ERA-NET Cofund
Triple-T2	Eurostars 2	Article 185
RayFEye	Eurostars 2	Article 185
RegenMed2.0	Eurostars 2	Article 185
RECEMENT	ERA-MIN 2	ERA-NET Cofund
ReDox	E-Rare-3	ERA-NET Cofund
Reachi	Eurostars 2	Article 185
ReachGLIO	TRANSCAN-3	ERA-NET Cofund
iNANOGUN	EuroNanoMed III	ERA-NET Cofund
RIPE4TEC	M-ERA.NET 2	ERA-NET Cofund
rosaGBS	Eurostars 2	Article 185
ReProsis	Eurostars 2	Article 185
CLOTSEEK	Eurostars 2	Article 185
IMAGINE!	Eurostars 2	Article 185
SMARTIES	PRIMA	Article 185
DiGriFlex	EN SGplusRegSys	ERA-NET Cofund
BEST	Eurostars 2	Article 185
Self-Optimizer	Eurostars 2	Article 185
RETINA	Eurostars 2	Article 185
17FUN09 UnipHied	EMPIR	Article 185
Real-K	EMPIR	Article 185
COOLSCHOOLS	ENUTC	ERA-NET Cofund
CLEVER	NEURON Cofund2	ERA-NET Cofund
EBOV-RDT-ROC	EDCTP2	Article 185
ROCKET	ERACoSysMed	ERA-NET Cofund
ReCognitION	E-Rare-3	ERA-NET Cofund
RAMBOat	MANUNET III	ERA-NET Cofund
RECONNECT	Governance	ERA-NET Cofund
RESTINA	M-ERA.NET 3	ERA-NET Cofund
RecoBar	SusCrop	ERA-NET Cofund
SUPERMET	ERA-MIN 2	ERA-NET Cofund
RETECH	ERA-MIN 2	ERA-NET Cofund
Recycl3D	ERA-MIN3	ERA-NET Cofund
NutraCos	MANUNET III	ERA-NET Cofund
Rendering3D	ERA-MIN3	ERA-NET Cofund
RecEOL	ERA-MIN 2	ERA-NET Cofund
HMRecycle	Eurostars 2	Article 185
MetRecycle	ERA-MIN 2	ERA-NET Cofund
REPLACER	M-ERA.NET 3	ERA-NET Cofund
ReDigIm	CHANSE	ERA-NET Cofund
RightFish	BlueBio	ERA-NET Cofund
FreshAID	Eurostars 2	Article 185
REFORM WATER	WaterWorks2017	ERA-NET Cofund
ROM-PV	Solar Cofund 2	ERA-NET Cofund
REWA	AquaticPollutants	ERA-NET Cofund
REWO-SORT	ERA-MIN 2	ERA-NET Cofund
RedOxRec	ERA-MIN 2	ERA-NET Cofund
15SIB01 FreeFORM	EMPIR	Article 185
C-arouNd	EJP SOIL	EJP Cofund
METHLAB	ERA-GAS	ERA-NET Cofund
RePark	M-ERA.NET 3	ERA-NET Cofund
REASON	EuroNanoMed III	ERA-NET Cofund
REVINE	PRIMA	Article 185
REDAP	EN SGplusRegSys	ERA-NET Cofund
R2EC	EN SGplusRegSys	ERA-NET Cofund
REIMAGINE ADM	CHANSE	ERA-NET Cofund
FunProd	BiodivERsA3	ERA-NET Cofund
SustainIT	ICT-AGRI-FOOD	ERA-NET Cofund
ReliaREN-Pro	EnerDigit	ERA-NET Cofund
ReCoVirA	CHANSE	ERA-NET Cofund
REMON - SO2	Eurostars 2	Article 185
19ENV02 RemoteALPHA	EMPIR	Article 185
RESPECT	ERA PerMed	ERA-NET Cofund
RELflex	ERANet SmartGridPlus	ERA-NET Cofund
REECAO	EDCTP2	Article 185
RepImpact	NEURON Cofund	ERA-NET Cofund
RETWood	Eurostars 2	Article 185
MCM4SB	ERA CoBioTech	ERA-NET Cofund
LeadOut	Eurostars 2	Article 185
ReFlex	ERANet SmartGridPlus	ERA-NET Cofund
RATER SCI	NEURON Cofund	ERA-NET Cofund
REJUVENATE	NEURON Cofund2	ERA-NET Cofund
MEDACORNET	PRIMA	Article 185
REMODEL-TZ	EDCTP2	Article 185
17RPT01 DOSEtrace	EMPIR	Article 185
TAGGED	M-ERA.NET 2	ERA-NET Cofund
EASE	Eurostars 2	Article 185
iBall-R2	Eurostars 2	Article 185
iBall	Eurostars 2	Article 185
SmartCell	Eurostars 2	Article 185
RainSolutions	WaterWorks2017	ERA-NET Cofund
REDACT	CHANSE	ERA-NET Cofund
UMACK	OCEANERA-NET COFUND	ERA-NET Cofund
SPHORCIS	OCEANERA-NET COFUND	ERA-NET Cofund
ResilNet	NEURON Cofund2	ERA-NET Cofund
RESili8	EnerDigit	ERA-NET Cofund
ROOT	SusCrop	ERA-NET Cofund
ReMe-diation	PRIMA	Article 185
ResBerry	CORE Organic Cofund	ERA-NET Cofund
RESCUER	ERACoSysMed	ERA-NET Cofund
RESOURCECODE	OCEANERA-NET COFUND	ERA-NET Cofund
DEMETER	FACCE SURPLUS	ERA-NET Cofund
Cities of Making	ENSUF	ERA-NET Cofund
RESOURCE	GeoERA	ERA-NET Cofund
RUBICORD	Eurostars 2	Article 185
ElQuRes	QuantERA II	ERA-NET Cofund
RESPOND	BiodivRestore	ERA-NET Cofund
EndoCARE	Eurostars 2	Article 185
RESTORE	Eurostars 2	Article 185
ReVersal	BiodivRestore	ERA-NET Cofund
HiRisk-HiGain	ERA PerMed	ERA-NET Cofund
RESCURE	Eurostars 2	Article 185
RetroFix	MANUNET III	ERA-NET Cofund
HANSA	MarTERA	ERA-NET Cofund
RETURN	ACT	ERA-NET Cofund
REX-CO2	ACT	ERA-NET Cofund
MELoDICA	FLAG-ERA II	ERA-NET Cofund
RISEBrain	TRANSCAN-3	ERA-NET Cofund
19NRM02 RevStdLED	EMPIR	Article 185
RECIPE	Eurostars 2	Article 185
WearMe	Eurostars 2	Article 185
ValoAR	Eurostars 2	Article 185
Rebound-Esthesiometer	Eurostars 2	Article 185
GOUDA	Eurostars 2	Article 185
RESIST-D	NEURON Cofund2	ERA-NET Cofund
Rising STAR	Eurostars 2	Article 185
RESIDUE	PRIMA	Article 185
iCC-Strat	TRANSCAN-3	ERA-NET Cofund
RoadWise	Eurostars 2	Article 185
Road4Schemes	EJP SOIL	EJP Cofund
RECICLARM	Eurostars 2	Article 185
ROBONAV	Eurostars 2	Article 185
RCI	Eurostars 2	Article 185
RISING	Eurostars 2	Article 185
GRINDBOT	Eurostars 2	Article 185
DISSEcT	Eurostars 2	Article 185
RoboVaaS	MarTERA	ERA-NET Cofund
R4Win	MANUNET III	ERA-NET Cofund
ReMIND	AAL 2	Article 185
ROBOGUIDE	Eurostars 2	Article 185
Robotiq ai	Eurostars 2	Article 185
RONNIE	MANUNET III	ERA-NET Cofund
ROCIT	EMPIR	Article 185
SulfiSense	Eurostars 2	Article 185
15HLT02 ReMiND	EMPIR	Article 185
VasOx	NEURON Cofund2	ERA-NET Cofund
REEAD-on-a-strip	Eurostars 2	Article 185
HYDROSENS	M-ERA.NET 3	ERA-NET Cofund
ENOPTUS	Eurostars 2	Article 185
RaSCAL	Eurostars 2	Article 185
RIGRID	ERANet SmartGridPlus	ERA-NET Cofund
CERERE	PRIMA	Article 185
S1 POF Transceiver	Eurostars 2	Article 185
SEPTIME	Eurostars 2	Article 185
SALAMANDER	ERA-HDHL	ERA-NET Cofund
16NRM07 Vector SAR	EMPIR	Article 185
SAFE pregnancy@home	Eurostars 2	Article 185
SAPIENS3D	Eurostars 2	Article 185
SAVE	AAL 2	Article 185
BIOSCALE	Eurostars 2	Article 185
SecTenSusPeace	T2S	ERA-NET Cofund
SECRET	QuantERA	ERA-NET Cofund
SEGRABIO	BESTF3	ERA-NET Cofund
SELF	AAL 2	Article 185
ELITYRE2	Eurostars 2	Article 185
HOTselflub	M-ERA.NET 2	ERA-NET Cofund
SECHIS	Eurostars 2	Article 185
SGH	AAL 2	Article 185
SILENCELQTS	EJP RD	EJP Cofund
SI-FOOtWORK	AAL 2	Article 185
SI4SI	AAL 2	Article 185
SIDESTREAM	BlueBio	ERA-NET Cofund
SMALLWOOD	ForestValue	ERA-NET Cofund
AISTOR	EN SGplusRegSys	ERA-NET Cofund
GRINDING4.0	Eurostars 2	Article 185
SMURBS	ERA-PLANET	ERA-NET Cofund
SOAPTIMIST	AAL 2	Article 185
SOILS4MED	PRIMA	Article 185
SOLARIA	AAL 2	Article 185
SOLARPower2.0	Eurostars 2	Article 185
SONDER	EN SGplusRegSys	ERA-NET Cofund
SOSTPRO	WaterWorks2015	ERA-NET Cofund
SPIN-AUTOFEED	Eurostars 2	Article 185
STEP HIGH	Eurostars 2	Article 185
STATEMENT	NEURON Cofund	ERA-NET Cofund
SOMMIT	EJP SOIL	EJP Cofund
SURFOLY	PRIMA	Article 185
FIT4REUSE	PRIMA	Article 185
SAM4ROB	Eurostars 2	Article 185
HYMOCA	M-ERA.NET 3	ERA-NET Cofund
SHlELD	Eurostars 2	Article 185
MARINAL	MarTERA	ERA-NET Cofund
Mara-Mediterra	PRIMA	Article 185
SaferBIOPHARMA	Eurostars 2	Article 185
SAEFRIF	EDCTP2	Article 185
IPTP-SP+	EDCTP2	Article 185
PREGART	EDCTP2	Article 185
EpiThe4FSHD	EJP RD	EJP Cofund
Nanostar-SMIDD	Eurostars 2	Article 185
MMSUV	MarTERA	ERA-NET Cofund
SUPROMED	PRIMA	Article 185
SALAD	FOSC	ERA-NET Cofund
MEDSAL	PRIMA	Article 185
PROFILUX	Eurostars 2	Article 185
PANELPV	SOLAR-ERA.NET Cofund	ERA-NET Cofund
LED SapphiroScope	Eurostars 2	Article 185
Sat IoT	Eurostars 2	Article 185
SHIFT!	Eurostars 2	Article 185
SIQCI	QuantERA II	ERA-NET Cofund
SCALE-CAR	Eurostars 2	Article 185
Q_Magine	QuantERA	ERA-NET Cofund
SUSTBATT	M-ERA.NET 3	ERA-NET Cofund
FT-SFQ	Eurostars 2	Article 185
SPROUT	Eurostars 2	Article 185
SUMO	QuantERA	ERA-NET Cofund
Scandere	ERA-MIN3	ERA-NET Cofund
SCRECU	EDCTP2	Article 185
FCDS Study	JPCOFUND2	ERA-NET Cofund
SIMPLE	EJP SOIL	EJP Cofund
SOMBEE	BiodivScen	ERA-NET Cofund
NorthWesternPaths	AXIS	ERA-NET Cofund
SALBES	BiodivScen	ERA-NET Cofund
GREENFUTUREFOREST	BiodivERsA3	ERA-NET Cofund
BIOESSHEALTH	BiodivScen	ERA-NET Cofund
SECBIVIT	BiodivScen	ERA-NET Cofund
ARCTIC-BIODIVER	BiodivScen	ERA-NET Cofund
STAR	Eurostars 2	Article 185
Screenbeat	Eurostars 2	Article 185
MINDeSEA	GeoERA	ERA-NET Cofund
SEALION	Eurostars 2	Article 185
RIMPLAN	Eurostars 2	Article 185
GREEN-POLRIM	Eurostars 2	Article 185
PureCell	Eurostars 2	Article 185
Functionizer	Eurostars 2	Article 185
SEASOLUTIONS	ERA-GAS	ERA-NET Cofund
SNAP	BlueBio	ERA-NET Cofund
SIDESTREAM	BlueBio	ERA-NET Cofund
SeNCA	Eurostars 2	Article 185
AGRO-SOFC	EN SGplusRegSys	ERA-NET Cofund
E-paper bag tag solution	Eurostars 2	Article 185
SOULMATE	AAL 2	Article 185
SupplyPBM	ERA-MIN 2	ERA-NET Cofund
MENTORA_4_EU	Eurostars 2	Article 185
Assess4Est	ForestValue	ERA-NET Cofund
SiMPLyReha	NEURON Cofund	ERA-NET Cofund
SENSEI	FLAG-ERA III	ERA-NET Cofund
SHAIR	Eurostars 2	Article 185
SEEMS DEEP	ERA-MIN3	ERA-NET Cofund
SelectiCa	Eurostars 2	Article 185
SEFASI	JPIAMR-ACTION	ERA-NET Cofund
SPARKLE	Eurostars 2	Article 185
SORTEDMOBILITY	EN-UAC	ERA-NET Cofund
chipS·CALe	EMPIR	Article 185
SAFER	M-ERA.NET 3	ERA-NET Cofund
SLDESUTO-BOX	Eurostars 2	Article 185
SHAPE	JPCOFUND2	ERA-NET Cofund
SAVANT	Eurostars 2	Article 185
SPEM System	Eurostars 2	Article 185
SIMTAP	PRIMA	Article 185
SAGE	Eurostars 2	Article 185
SeSCo	Eurostars 2	Article 185
MEDIATE	M-ERA.NET 3	ERA-NET Cofund
SANDRo2	Eurostars 2	Article 185
SACRO	Eurostars 2	Article 185
Greenhouse-PV	M-ERA.NET 3	ERA-NET Cofund
SenSuit Safety System	Eurostars 2	Article 185
SenSuit	Eurostars 2	Article 185
Nano4Zombie	M-ERA.NET 3	ERA-NET Cofund
SecondSkin	Eurostars 2	Article 185
Sens4ME	AAL 2	Article 185
SensiScreen Skin	Eurostars 2	Article 185
SensiScreen Glioma	Eurostars 2	Article 185
SALMOS	M-ERA.NET 2	ERA-NET Cofund
SOMMA	Eurostars 2	Article 185
MAGNISENSE	Eurostars 2	Article 185
SensRes	EJP SOIL	EJP Cofund
sPICed	Eurostars 2	Article 185
SENRISK	Eurostars 2	Article 185
SepaRope	Governance	ERA-NET Cofund
Sweedhart	FACCE SURPLUS	ERA-NET Cofund
SPARQL	QuantERA II	ERA-NET Cofund
SUCCESS	Solar Cofund 2	ERA-NET Cofund
SAIFFER	Eurostars 2	Article 185
E-NAV-R1	Eurostars 2	Article 185
EXCELL	Eurostars 2	Article 185
Glass3D	M-ERA.NET 2	ERA-NET Cofund
URBANINFRA	Eurostars 2	Article 185
RHCforFGC	GENDER NET Plus	ERA-NET Cofund
HiStory	AAL 2	Article 185
SharkGuard	Eurostars 2	Article 185
BIOMEDPACK	PRIMA	Article 185
ROUTING	MarTERA	ERA-NET Cofund
SPEEDWORK	Eurostars 2	Article 185
ShoQC	QuantERA	ERA-NET Cofund
SwirSense	Eurostars 2	Article 185
STAQS	QuantERA II	ERA-NET Cofund
SIDALPS	Eurostars 2	Article 185
SIAGEN-MS	Eurostars 2	Article 185
Siderec	ERA-MIN 2	ERA-NET Cofund
SIBRA	Eurostars 2	Article 185
NanoProtect	Eurostars 2	Article 185
SiCqurTech	QuantERA II	ERA-NET Cofund
SQUARE	QuantERA	ERA-NET Cofund
SIPR	Eurostars 2	Article 185
SIGNIFICANT	Eurostars 2	Article 185
GLIOSILK	EuroNanoMed III	ERA-NET Cofund
SimMan Vascular	Eurostars 2	Article 185
17SIP02 SimpleMeteoU	EMPIR	Article 185
Simplici-TB	EDCTP2	Article 185
SIMTWIST	WaterWorks2017	ERA-NET Cofund
GeoCloud	Eurostars 2	Article 185
SOLVED!	Eurostars 2	Article 185
LUBRICOAT	M-ERA.NET 2	ERA-NET Cofund
SLAM-HELP	Eurostars 2	Article 185
SiBaGEM	Eurostars 2	Article 185
ESSLDPQ P4502D6	EDCTP2	Article 185
SEQUME	EMPIR	Article 185
iMMunocell	TRANSCAN-2	ERA-NET Cofund
17FUN04 SEQUOIA	EMPIR	Article 185
17FUN06 SIQUST	EMPIR	Article 185
Singularity	Eurostars 2	Article 185
SiooCanProtect	Eurostars 2	Article 185
SPAS	Eurostars 2	Article 185
SMART-HaemoCare	E-Rare-3	ERA-NET Cofund
Nanoneck2	Eurostars 2	Article 185
FLEXIBI	FACCE SURPLUS	ERA-NET Cofund
SACON	Eurostars 2	Article 185
SAPPHIRE	Eurostars 2	Article 185
SmartCEPS	Eurostars 2	Article 185
AutomatMat	Eurostars 2	Article 185
SCC	Eurostars 2	Article 185
SmartGEM	EnerDigit	ERA-NET Cofund
SEM-net	MANUNET III	ERA-NET Cofund
SMARES	ERANet SmartGridPlus	ERA-NET Cofund
ECS	Eurostars 2	Article 185
Zero-emission-greenhouse	Eurostars 2	Article 185
SMART-G	ERA-MIN 2	ERA-NET Cofund
Cover Power	SOLAR-ERA.NET Cofund	ERA-NET Cofund
SmartIAN	ERANet SmartGridPlus	ERA-NET Cofund
SIES2022	EN SGplusRegSys	ERA-NET Cofund
SIM	WaterWorks2014	ERA-NET Cofund
SMIT	Eurostars 2	Article 185
SMOOTH Networks	Eurostars 2	Article 185
SmartLoad	ERANet SmartGridPlus	ERA-NET Cofund
MICRO-MONITOR	Eurostars 2	Article 185
SmartHubs	EN-UAC	ERA-NET Cofund
SMALLDERS	PRIMA	Article 185
SensCoat	M-ERA.NET 2	ERA-NET Cofund
SmartFit	Eurostars 2	Article 185
VOC-DETECT	M-ERA.NET 2	ERA-NET Cofund
SMART-MATCH-	Eurostars 2	Article 185
Smarter SFP	Eurostars 2	Article 185
3 S RECIPE	ENSUF	ERA-NET Cofund
S3	Solar Cofund 2	ERA-NET Cofund
TRANS-FORM	ENSCC	ERA-NET Cofund
STRATA	EnerDigit	ERA-NET Cofund
SMART-U-GREEN	ENSUF	ERA-NET Cofund
Smart UrbI	ENSUF	ERA-NET Cofund
SWAM	Eurostars 2	Article 185
CICLICA	PRIMA	Article 185
Smart Commuting	ENSCC	ERA-NET Cofund
SWARM	Eurostars 2	Article 185
e-MOTIPH	Eurostars 2	Article 185
BiOrangePack	PRIMA	Article 185
EXO-RESCUE	Eurostars 2	Article 185
NanoSmartBI	Eurostars 2	Article 185
ReMember-Me	AAL 2	Article 185
SMART URBAN ISLE	ENSCC	ERA-NET Cofund
Smart Pedestrian Net	ENSUF	ERA-NET Cofund
watintech	WaterWorks2014	ERA-NET Cofund
DESENT	ENSCC	ERA-NET Cofund
FARMS4CLIMATE	PRIMA	Article 185
OPTICUT	MANUNET III	ERA-NET Cofund
CITYFOOD	EN-SUGI	ERA-NET Cofund
SmaCuMed	PRIMA	Article 185
SmartHouB	M-ERA.NET 2	ERA-NET Cofund
SOMA	Eurostars 2	Article 185
SmartHyCAR	M-ERA.NET 2	ERA-NET Cofund
SAPHIRE	Eurostars 2	Article 185
SMARTGEL	M-ERA.NET 3	ERA-NET Cofund
Smart2Graph	FLAG-ERA III	ERA-NET Cofund
TEMSENSOPT	MANUNET III	ERA-NET Cofund
eSecurePack	Eurostars 2	Article 185
REPELPLAS	Eurostars 2	Article 185
SmartMic	Eurostars 2	Article 185
SMARTCAP	M-ERA.NET 3	ERA-NET Cofund
CropWatch4.0	Eurostars 2	Article 185
SMARTCHAIN	BlueBio	ERA-NET Cofund
SmartChain_diss	BlueBio	ERA-NET Cofund
Smartchain_policy	BlueBio	ERA-NET Cofund
SmartBEAT	AAL 2	Article 185
GELWIN	M-ERA.NET 3	ERA-NET Cofund
SMARTUP	CHANSE	ERA-NET Cofund
Speech2Process S2P	Eurostars 2	Article 185
SmartHeat	AAL 2	Article 185
SmartCAR-T	TRANSCAN-3	ERA-NET Cofund
SmartMelt	Eurostars 2	Article 185
SmartSE	AAL 2	Article 185
Smartbeat	Eurostars 2	Article 185
SmarterLabs	ENSCC	ERA-NET Cofund
SnoWE	Eurostars 2	Article 185
Active@Home	AAL 2	Article 185
SHARED	JPCOFUND2	ERA-NET Cofund
SIA Graph	Eurostars 2	Article 185
SEED	DIAL	ERA-NET Cofund
Many-Me	AAL 2	Article 185
FishME	BiodivRestore	ERA-NET Cofund
SAPIENCE	EJP RD	EJP Cofund
SmASHER	Eurostars 2	Article 185
H2HCare	AAL 2	Article 185
SEQUAL	GENDER NET Plus	ERA-NET Cofund
SCRIPT	Eurostars 2	Article 185
MedAgriFoodResilience	SUSFOOD2	ERA-NET Cofund
SEALANT	Eurostars 2	Article 185
SoftCompEl	M-ERA.NET 3	ERA-NET Cofund
19SIP04 TracPETperf	EMPIR	Article 185
17SIP05 CASoft	EMPIR	Article 185
SERENA	EJP SOIL	EJP Cofund
SHARInG-MeD	PRIMA	Article 185
SuppressSOIL	BiodivERsA3	ERA-NET Cofund
SOIL-ES	EJP SOIL	EJP Cofund
SOMPACS	EJP SOIL	EJP Cofund
SoilX	EJP SOIL	EJP Cofund
CarboSeq	EJP SOIL	EJP Cofund
PV-SolAir	Eurostars 2	Article 185
LEIA	CSP ERANET	ERA-NET Cofund
STEEP STREAMS	WaterWorks2014	ERA-NET Cofund
SPIRIT	M-ERA.NET 3	ERA-NET Cofund
PeroGas	FLAG-ERA III	ERA-NET Cofund
Solution4Farming	SusAn	ERA-NET Cofund
SEAMoBB	MarTERA	ERA-NET Cofund
Solve-RET	EJP RD	EJP Cofund
SUPERVALUE	FACCE SURPLUS	ERA-NET Cofund
SoundScapes (BlueCC)	BlueBio	ERA-NET Cofund
STEWART	MANUNET III	ERA-NET Cofund
SOMEWAIR	Eurostars 2	Article 185
SoundMe	HERA JRP UP	ERA-NET Cofund
SEEDS	PRIMA	Article 185
SUSFORAGE	PRIMA	Article 185
SPACERGY	ENSCC	ERA-NET Cofund
SPARSE	ACT	ERA-NET Cofund
OTH Diabetes	Eurostars 2	Article 185
STARS-TAP	JPIAMR-ACTION	ERA-NET Cofund
Nano4PTM	Eurostars 2	Article 185
MultiContrastPhotonCT	Eurostars 2	Article 185
SEI	MANUNET III	ERA-NET Cofund
SPECTROFLOW	Eurostars 2	Article 185
SWIPE	M-ERA.NET 2	ERA-NET Cofund
heaRT-4-EU	Eurostars 2	Article 185
SOGraphMEM	FLAG-ERA III	ERA-NET Cofund
NanoSpin	QuantERA	ERA-NET Cofund
SILENCE	NEURON Cofund	ERA-NET Cofund
NEURONICHE	NEURON Cofund	ERA-NET Cofund
AxonRepair	NEURON Cofund	ERA-NET Cofund
FUN	Solar Cofund 2	ERA-NET Cofund
SQUEIS	QuantERA II	ERA-NET Cofund
SMICE-Li	M-ERA.NET 2	ERA-NET Cofund
SLAP	M-ERA.NET 3	ERA-NET Cofund
STAFLAV	Eurostars 2	Article 185
SLIM-FIT	M-ERA.NET 2	ERA-NET Cofund
19ENV05 STELLAR	EMPIR	Article 185
14SIP07 Digital Standard	EMPIR	Article 185
15NRM04 ROCOF	EMPIR	Article 185
15SIP01 Zero Gas	EMPIR	Article 185
14SIP04 TF-Plastic	EMPIR	Article 185
METVES II	EMPIR	Article 185
DC grids	EMPIR	Article 185
19NRM04 ISO-G-SCoPe	EMPIR	Article 185
qMOIF	EMPIR	Article 185
MyMIC	JPIAMR-ACTION	ERA-NET Cofund
BALTIC-AMR	JPIAMR-ACTION	ERA-NET Cofund
STGM-HYDROPOWER	Eurostars 2	Article 185
15SIP03 InfusionUptake	EMPIR	Article 185
14SIP08 Dynamic	EMPIR	Article 185
17NRM03 EUCoM	EMPIR	Article 185
SFL	AAL 2	Article 185
SPICE	Eurostars 2	Article 185
METALCOAT	Eurostars 2	Article 185
STEEP UP	M-ERA.NET 3	ERA-NET Cofund
AnimalFuture	SusAn	ERA-NET Cofund
ScaLABle-MEAT	Eurostars 2	Article 185
SYMPA	M-ERA.NET 2	ERA-NET Cofund
STEROPES	EJP SOIL	EJP Cofund
SIREN	EJP SOIL	EJP Cofund
RestoreGrid4RES	ERANet SmartGridPlus	ERA-NET Cofund
MIX-ENABLE	CORE Organic Cofund	ERA-NET Cofund
CircAgric-GHG	SusAn	ERA-NET Cofund
FLUXMED	WaterWorks2017	ERA-NET Cofund
ID93-TBVaccine	EDCTP2	Article 185
